,Name_x,Difficulty_x,Name_y,Difficulty_y,Weight
621,CinderellaGirlsStarlightDancefloor-CANDY_ISLAND-Happy_x_2_Days,8,Gpop_sPackofOriginalPadSimsII-aoi-Ujis_supremacy_of_Happy_end,7,0.5
622,Gpop_sPackofOriginalPadSimsII-aoi-Ujis_supremacy_of_Happy_end,7,CinderellaGirlsStarlightDancefloor-CANDY_ISLAND-Happy_x_2_Days,8,0.5
651,Gpop_sPackofOriginalPadSimsIII-Snails_House-My_Story,7,Gpop_sPackofOriginalPadSimsIII-Camellia_feat_Nanahira-Versus,6,1
652,Gpop_sPackofOriginalPadSimsIII-Camellia_feat_Nanahira-Versus,6,Gpop_sPackofOriginalPadSimsIII-Snails_House-My_Story,7,0
661,CinderellaGirlsStarlightDancefloor-CANDY_ISLAND-Happy_x_2_Days,8,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-SCAPEGOAT_BOY,7,0
662,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-SCAPEGOAT_BOY,7,CinderellaGirlsStarlightDancefloor-CANDY_ISLAND-Happy_x_2_Days,8,1
681,TouhouKousaikai_ScarletFestivalGathering_videoless_-Camellia-werewolf_howls,10,VocaloidProjectPadPack5th-Owata_P_feat_Megurine_Luka-Toluene,9,0
682,VocaloidProjectPadPack5th-Owata_P_feat_Megurine_Luka-Toluene,9,TouhouKousaikai_ScarletFestivalGathering_videoless_-Camellia-werewolf_howls,10,1
691,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-SCAPEGOAT_BOY,7,TouhouOumukan_SakuraDreamSensation-Kishida_Kyoudan__The_Akeboshi_Rockets-CROWN_PIECE,8,1
692,TouhouOumukan_SakuraDreamSensation-Kishida_Kyoudan__The_Akeboshi_Rockets-CROWN_PIECE,8,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-SCAPEGOAT_BOY,7,0
701,KantaiCollectionPadColle-Visko-Pan_Pa_Ka_Paaan,7,VocaloidProjectPadPack4th_Videoless_-TAKU1175_feat_Hatsune_Miku-Ubaware,5,0
702,VocaloidProjectPadPack4th_Videoless_-TAKU1175_feat_Hatsune_Miku-Ubaware,5,KantaiCollectionPadColle-Visko-Pan_Pa_Ka_Paaan,7,1
731,TouhouKousaikai_ScarletFestivalGathering_videoless_-Liz_Triangle-Rairai_Denden,7,TouhouOumukan_SakuraDreamSensation-Kishida_Kyoudan__The_Akeboshi_Rockets-CROWN_PIECE,8,0
732,TouhouOumukan_SakuraDreamSensation-Kishida_Kyoudan__The_Akeboshi_Rockets-CROWN_PIECE,8,TouhouKousaikai_ScarletFestivalGathering_videoless_-Liz_Triangle-Rairai_Denden,7,1
751,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-Dream_Refrain,7,VocaloidProjectPadPack5th-kz_feat_Hatsune_Miku-Catch_the_Wave,8,0
752,VocaloidProjectPadPack5th-kz_feat_Hatsune_Miku-Catch_the_Wave,8,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-Dream_Refrain,7,1
781,Gpop_sPackofOriginalPadSimsII-Ryuwitty_feat_Kuroa-The_world_of_sound,8,KantaiCollectionPadColle-Alice_in_the_Hole-Go_Ahead_Make_My_Night,9,0
782,KantaiCollectionPadColle-Alice_in_the_Hole-Go_Ahead_Make_My_Night,9,Gpop_sPackofOriginalPadSimsII-Ryuwitty_feat_Kuroa-The_world_of_sound,8,1
811,TouhouKousaikai_ScarletFestivalGathering_videoless_-Unlucky_Morpheus-Chronicle_of_the_Wicked_Fallen_Angel_Sariel,2,TouhouOumukan_SakuraDreamSensation-Rin-Koumakan_Set_16,1,1
812,TouhouOumukan_SakuraDreamSensation-Rin-Koumakan_Set_16,1,TouhouKousaikai_ScarletFestivalGathering_videoless_-Unlucky_Morpheus-Chronicle_of_the_Wicked_Fallen_Angel_Sariel,2,0
831,TouhouKousaikai_ScarletFestivalGathering_videoless_-rider-DEEP_MARINE_STRIKER,8,TouhouKousaikai_ScarletFestivalGathering_videoless_-Liz_Triangle-Rairai_Denden,7,1
832,TouhouKousaikai_ScarletFestivalGathering_videoless_-Liz_Triangle-Rairai_Denden,7,TouhouKousaikai_ScarletFestivalGathering_videoless_-rider-DEEP_MARINE_STRIKER,8,0
841,TouhouOumukan_SakuraDreamSensation-Clone_Soldier-Run_Princess_Inada,5,VocaloidProjectPadPack4th_Videoless_-kz_feat_Hatsune_Miku-Redial,6,0
842,VocaloidProjectPadPack4th_Videoless_-kz_feat_Hatsune_Miku-Redial,6,TouhouOumukan_SakuraDreamSensation-Clone_Soldier-Run_Princess_Inada,5,1
851,Gpop_sPackofOriginalPadSimsIII-Camellia_feat_Nanahira-Versus,6,TouhouOumukan_SakuraDreamSensation-Laur-Nostalgic_Blood_of_the_Strife,7,0
852,TouhouOumukan_SakuraDreamSensation-Laur-Nostalgic_Blood_of_the_Strife,7,Gpop_sPackofOriginalPadSimsIII-Camellia_feat_Nanahira-Versus,6,1
861,Gpop_sPackofOriginalPadSimsII-banshi-Starlight_Express,7,TouhouOumukan_SakuraDreamSensation-tpazolite-KAMSABI,8,0
862,TouhouOumukan_SakuraDreamSensation-tpazolite-KAMSABI,8,Gpop_sPackofOriginalPadSimsII-banshi-Starlight_Express,7,1
881,Gpop_sPackofOriginalPadSims-Turtles-Whats_Going_On,8,Gpop_sPackofOriginalPadSimsII-banshi-Starlight_Express,7,0.5
882,Gpop_sPackofOriginalPadSimsII-banshi-Starlight_Express,7,Gpop_sPackofOriginalPadSims-Turtles-Whats_Going_On,8,0.5
901,TouhouKousaikai_ScarletFestivalGathering_videoless_-Rin-Daishibyo_Set_12,9,VocaloidProjectPadPack4th_Videoless_-TAKU1175_feat_Hatsune_Miku-Ubaware,8,1
902,VocaloidProjectPadPack4th_Videoless_-TAKU1175_feat_Hatsune_Miku-Ubaware,8,TouhouKousaikai_ScarletFestivalGathering_videoless_-Rin-Daishibyo_Set_12,9,0
911,VocaloidProjectPadPack4th_Videoless_-Last_Note_feat_GUMI-Ecstatic_Vivace,4,VocaloidProjectPadPack5th-Shizen_no_Teki_P_feat_IA-World_Calling,3,1
912,VocaloidProjectPadPack5th-Shizen_no_Teki_P_feat_IA-World_Calling,3,VocaloidProjectPadPack4th_Videoless_-Last_Note_feat_GUMI-Ecstatic_Vivace,4,0
951,Gpop_sPackofOriginalPadSimsIII-Hommarju_feat_Mayumi_Morinaga-Meteor,3,VocaloidProjectPadPack4th_Videoless_-Ocelot_feat_Hatsune_Miku-Loop,4,0
952,VocaloidProjectPadPack4th_Videoless_-Ocelot_feat_Hatsune_Miku-Loop,4,Gpop_sPackofOriginalPadSimsIII-Hommarju_feat_Mayumi_Morinaga-Meteor,3,1
961,Gpop_sPackofOriginalPadSimsIII-PLight_feat_mow2-Hello_Happiness,5,TouhouOumukan_SakuraDreamSensation-uno-Always_Harenohi,6,0
962,TouhouOumukan_SakuraDreamSensation-uno-Always_Harenohi,6,Gpop_sPackofOriginalPadSimsIII-PLight_feat_mow2-Hello_Happiness,5,1
